date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2026-04-18,Ninh Thuận,541793,40973,12319,"38006, 70564","00449, 12733, 64932, 05755, 64379, 46007, 36975",6592,"5514, 8314, 0607",034,06
2026-04-18,Quảng Bình,188509,76065,93587,"09074, 36235","71557, 23797, 67103, 88198, 99377, 48302, 33891",0826,"8532, 6956, 8289",980,30
2026-04-18,Quảng Ngãi,288358,92394,83801,"25625, 66735","93788, 52601, 40094, 78657, 35913, 53671, 52343",2358,"0002, 5654, 5147",922,64
2026-04-18,Quảng Trị,451920,61984,02466,"76302, 32986","76834, 92984, 38597, 96284, 41333, 63173, 65834",2200,"2908, 7713, 2383",047,81
2026-04-18,Đà Nẵng,265235,85389,80775,"04564, 99688","32800, 12691, 51119, 40608, 40109, 56006, 30996",8236,"0228, 1567, 2954",766,82
2026-04-20,18/04/2026,150040,30672,51790,"13948, 20742","45355, 43002, 97408, 75683, 22963, 00038, 93037",5597,"9183, 8717, 2090",345,26
2026-04-20,19/04/2026,481381,20661,73270,"99750, 83190","99949, 40438, 71270, 47407, 05659, 33332, 98911",2503,"2891, 3073, 1390",645,56
2026-04-20,20/04/2026,850554,78454,92450,"50773, 42913","46467, 01527, 11282, 45195, 36992, 35093, 43209",4437,"0631, 9649, 4772",845,52
2026-04-20,Khánh Hòa,459645,49854,09173,"45634, 07053","53704, 81665, 76044, 66774, 63239, 45270, 71400",7075,"0548, 0168, 1089",276,03
2026-04-20,Kon Tum,901057,96380,98178,"95545, 12673","16195, 95701, 20081, 78367, 71384, 16484, 10125",6385,"3240, 6516, 5559",006,92
2026-04-20,Phú Yên,484050,91315,56453,"15181, 37280","51225, 83059, 00519, 81188, 25185, 07833, 02144",4572,"2870, 0386, 9642",946,42
2026-04-20,Quảng Ngãi,288358,92394,83801,"25625, 66735","93788, 52601, 40094, 78657, 35913, 53671, 52343",2358,"0002, 5654, 5147",922,64
2026-04-20,Đà Nẵng,265235,85389,80775,"04564, 99688","32800, 12691, 51119, 40608, 40109, 56006, 30996",8236,"0228, 1567, 2954",766,82
2026-04-21,19/04/2026,481381,20661,73270,"99750, 83190","99949, 40438, 71270, 47407, 05659, 33332, 98911",2503,"2891, 3073, 1390",645,56
2026-04-21,20/04/2026,850554,78454,92450,"50773, 42913","46467, 01527, 11282, 45195, 36992, 35093, 43209",4437,"0631, 9649, 4772",845,52
2026-04-21,Khánh Hòa,459645,49854,09173,"45634, 07053","53704, 81665, 76044, 66774, 63239, 45270, 71400",7075,"0548, 0168, 1089",276,03
2026-04-21,Kon Tum,901057,96380,98178,"95545, 12673","16195, 95701, 20081, 78367, 71384, 16484, 10125",6385,"3240, 6516, 5559",006,92
2026-04-21,Phú Yên,484050,91315,56453,"15181, 37280","51225, 83059, 00519, 81188, 25185, 07833, 02144",4572,"2870, 0386, 9642",946,42
2026-04-21,Quảng Nam,844398,24552,51983,"55824, 61599","51002, 79080, 38921, 76113, 06078, 27295, 72985",1081,"2562, 9659, 5734",673,79
2026-04-21,Đắk Lắk,541284,46467,24624,"44669, 55177","65445, 76773, 37439, 63101, 52433, 37602, 72049",0183,"6487, 6127, 7622",222,04
