date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2008-01-18,Trà Vinh,26699,09012,43972,"85295, 98986","13395, 68117, 19731, 04678, 93448, 13508, 75530",9442,"5929, 7512, 3293",227,78
2008-01-18,Vĩnh Long,96512,13398,10580,"57115, 15117","73646, 34345, 29830, 55028, 44258, 25210, 54203",2217,"9078, 3810, 8201",905,03
2008-01-19,Bình Phước,07340,86090,50138,"71163, 47874","78772, 77989, 88925, 33473, 60100, 64785, 16106",0638,"5160, 9666, 9773",309,89
2008-01-19,Bến Tre,26325,18159,72221,"43753, 01199","02010, 86318, 32571, 33787, 67322, 56058, 48221",1091,"1756, 0406, 0662",377,85
2008-01-19,Hồ Chí Minh,75838,50848,65662,"11662, 17504","72341, 25796, 50991, 64901, 69463, 36308, 90833",6305,"4490, 7378, 0225",839,44
2008-01-19,Long An,97501,02669,63074,"38543, 88973","83425, 81341, 05097, 67423, 88730, 49166, 97022",5152,"6294, 0057, 3640",579,95
2008-01-19,Trà Vinh,26699,09012,43972,"85295, 98986","13395, 68117, 19731, 04678, 93448, 13508, 75530",9442,"5929, 7512, 3293",227,78
2008-01-19,Vĩnh Long,96512,13398,10580,"57115, 15117","73646, 34345, 29830, 55028, 44258, 25210, 54203",2217,"9078, 3810, 8201",905,03
2008-01-20,20/01/2008,96762,68913,99727,"90051, 93382","47596, 08012, 01050, 62910, 95366, 50519, 61834",4570,"3939, 1738, 7773",310,35
2008-01-20,Bình Phước,07340,86090,50138,"71163, 47874","78772, 77989, 88925, 33473, 60100, 64785, 16106",0638,"5160, 9666, 9773",309,89
2008-01-20,Hồ Chí Minh,75838,50848,65662,"11662, 17504","72341, 25796, 50991, 64901, 69463, 36308, 90833",6305,"4490, 7378, 0225",839,44
2008-01-20,Long An,97501,02669,63074,"38543, 88973","83425, 81341, 05097, 67423, 88730, 49166, 97022",5152,"6294, 0057, 3640",579,95
2008-01-20,Tiền Giang,88705,30760,51394,"29320, 51210","37278, 02081, 35517, 19343, 06135, 78638, 83189",6640,"1582, 3421, 4927",459,09
2008-01-20,Đồng Tháp,95687,86628,14910,"96861, 94967","15623, 57632, 28718, 37672, 98709, 34086, 54271",7577,"7875, 8435, 7420",960,33
2008-01-21,20/01/2008,96762,68913,99727,"90051, 93382","47596, 08012, 01050, 62910, 95366, 50519, 61834",4570,"3939, 1738, 7773",310,35
2008-01-21,Cà Mau,30647,44642,10595,"53745, 99674","82609, 59882, 16800, 78274, 78714, 56878, 07523",3176,"5596, 9778, 7996",456,58
2008-01-21,Hồ Chí Minh,08104,10767,96737,"76693, 99861","05231, 08226, 21734, 55309, 21200, 75311, 99027",0684,"4768, 4449, 2603",271,23
2008-01-21,Tiền Giang,88705,30760,51394,"29320, 51210","37278, 02081, 35517, 19343, 06135, 78638, 83189",6640,"1582, 3421, 4927",459,09
2008-01-21,Đồng Tháp,95687,86628,14910,"96861, 94967","15623, 57632, 28718, 37672, 98709, 34086, 54271",7577,"7875, 8435, 7420",960,33
2008-01-22,Bến Tre,54501,41565,76490,"41448, 82957","44597, 53202, 79019, 93043, 47003, 13603, 44446",5830,"9622, 8616, 3739",582,96
2008-01-22,Cà Mau,30647,44642,10595,"53745, 99674","82609, 59882, 16800, 78274, 78714, 56878, 07523",3176,"5596, 9778, 7996",456,58
2008-01-22,Hồ Chí Minh,08104,10767,96737,"76693, 99861","05231, 08226, 21734, 55309, 21200, 75311, 99027",0684,"4768, 4449, 2603",271,23
2008-01-22,Vũng Tàu,04791,37784,91821,"72710, 64759","51165, 80221, 33146, 59570, 67213, 16088, 32894",6856,"7885, 0668, 1922",144,83
2008-01-22,Đồng Tháp,73915,69037,50151,"82644, 09797","28577, 54774, 22707, 13594, 64160, 33167, 53842",4509,"4096, 9286, 6382",077,52
2008-01-23,Bến Tre,54501,41565,76490,"41448, 82957","44597, 53202, 79019, 93043, 47003, 13603, 44446",5830,"9622, 8616, 3739",582,96
2008-01-23,Cần Thơ,64332,26350,65351,"99280, 87779","27735, 64922, 53930, 23277, 93160, 77605, 44550",3275,"7179, 4593, 9755",300,07
2008-01-23,Sóc Trăng,73009,83682,01481,"51558, 76558","12224, 86663, 76889, 19791, 68621, 93874, 86822",6582,"1018, 8223, 9110",372,75
2008-01-23,Vũng Tàu,04791,37784,91821,"72710, 64759","51165, 80221, 33146, 59570, 67213, 16088, 32894",6856,"7885, 0668, 1922",144,83
2008-01-23,Đồng Tháp,52697,77735,83212,"32041, 95979","96310, 05645, 01392, 76456, 54703, 47720, 60463",1536,"6980, 0382, 9799",834,21
2008-01-24,An Giang,26821,25277,03300,"80761, 43923","25942, 84195, 58977, 64793, 34484, 89696, 61657",7519,"0940, 7346, 9342",996,15
2008-01-24,Bình Thuận,19151,65142,60691,"07668, 98948","97490, 71300, 79961, 79607, 80752, 03679, 43176",0905,"1326, 6306, 5216",170,61
2008-01-24,Cần Thơ,64332,26350,65351,"99280, 87779","27735, 64922, 53930, 23277, 93160, 77605, 44550",3275,"7179, 4593, 9755",300,07
2008-01-24,Sóc Trăng,73009,83682,01481,"51558, 76558","12224, 86663, 76889, 19791, 68621, 93874, 86822",6582,"1018, 8223, 9110",372,75
2008-01-24,Tiền Giang,69689,57624,48946,"03576, 61707","39995, 17233, 00734, 91316, 38085, 76749, 55022",4793,"7434, 0458, 5703",104,98
